Fuels,Country,year,Energy Consumption-EJ
Wind,Africa,1978,0
Wind,Africa,1979,0
Wind,Africa,1980,0
Wind,Africa,1981,0
Wind,Africa,1982,0
Wind,Africa,1983,0
Wind,Africa,1984,0
Wind,Africa,1985,0
Wind,Africa,1986,0
Wind,Africa,1987,0
Wind,Africa,1988,0
Wind,Africa,1989,0
Wind,Africa,1990,0
Wind,Africa,1991,0
Wind,Africa,1992,0
Wind,Africa,1993,0.00002
Wind,Africa,1994,0.000054
Wind,Africa,1995,0.000063
Wind,Africa,1996,0.000071
Wind,Africa,1997,0.000072
Wind,Africa,1998,0.000076
Wind,Africa,1999,0.000198
Wind,Africa,2000,0.00176
Wind,Africa,2001,0.004133822
Wind,Africa,2002,0.004388522
Wind,Africa,2003,0.005307897
Wind,Africa,2004,0.007496858
Wind,Africa,2005,0.007576278
Wind,Africa,2006,0.008203981
Wind,Africa,2007,0.009717655
Wind,Africa,2008,0.01246974
Wind,Africa,2009,0.015014076
Wind,Africa,2010,0.021440525
Wind,Africa,2011,0.023672766
Wind,Africa,2012,0.027463326
Wind,Africa,2013,0.032810061
Wind,Africa,2014,0.047257042
Wind,Africa,2015,0.080946894
Wind,Africa,2016,0.102354498
Wind,Africa,2017,0.112123612
Wind,Africa,2018,0.127838164
Wind,Africa,2019,0.156073339
Wind,Asia Pacific,1978,0
Wind,Asia Pacific,1979,0
Wind,Asia Pacific,1980,0
Wind,Asia Pacific,1981,0
Wind,Asia Pacific,1982,0
Wind,Asia Pacific,1983,0
Wind,Asia Pacific,1984,0
Wind,Asia Pacific,1985,0
Wind,Asia Pacific,1986,0
Wind,Asia Pacific,1987,0
Wind,Asia Pacific,1988,0
Wind,Asia Pacific,1989,0
Wind,Asia Pacific,1990,0.00032323
Wind,Asia Pacific,1991,0.00122
Wind,Asia Pacific,1992,0.002204741
Wind,Asia Pacific,1993,0.003118372
Wind,Asia Pacific,1994,0.005835884
Wind,Asia Pacific,1995,0.011216016
Wind,Asia Pacific,1996,0.009912094
Wind,Asia Pacific,1997,0.012139534
Wind,Asia Pacific,1998,0.014895453
Wind,Asia Pacific,1999,0.020532529
Wind,Asia Pacific,2000,0.025639421
Wind,Asia Pacific,2001,0.034945758
Wind,Asia Pacific,2002,0.040145328
Wind,Asia Pacific,2003,0.05238166
Wind,Asia Pacific,2004,0.089526406
Wind,Asia Pacific,2005,0.116388398
Wind,Asia Pacific,2006,0.178690615
Wind,Asia Pacific,2007,0.235725245
Wind,Asia Pacific,2008,0.343340494
Wind,Asia Pacific,2009,0.51830665
Wind,Asia Pacific,2010,0.765238029
Wind,Asia Pacific,2011,1.060103567
Wind,Asia Pacific,2012,1.370234306
Wind,Asia Pacific,2013,1.740228247
Wind,Asia Pacific,2014,1.968281384
Wind,Asia Pacific,2015,2.216124725
Wind,Asia Pacific,2016,2.829478458
Wind,Asia Pacific,2017,3.492030034
Wind,Asia Pacific,2018,4.148989085
Wind,Asia Pacific,2019,4.584305304
Wind,CIS,1978,0
Wind,CIS,1979,0
Wind,CIS,1980,0
Wind,CIS,1981,0
Wind,CIS,1982,0
Wind,CIS,1983,0
Wind,CIS,1984,0
Wind,CIS,1985,0
Wind,CIS,1986,0
Wind,CIS,1987,0
Wind,CIS,1988,0
Wind,CIS,1989,0
Wind,CIS,1990,0
Wind,CIS,1991,0
Wind,CIS,1992,0
Wind,CIS,1993,0
Wind,CIS,1994,0
Wind,CIS,1995,0
Wind,CIS,1996,0
Wind,CIS,1997,0
Wind,CIS,1998,0
Wind,CIS,1999,0
Wind,CIS,2000,0.000019
Wind,CIS,2001,0.0000308
Wind,CIS,2002,0.0000612
Wind,CIS,2003,0.0000843
Wind,CIS,2004,0.00007804
Wind,CIS,2005,0.00007548
Wind,CIS,2006,0.00008462
Wind,CIS,2007,0.00010036
Wind,CIS,2008,0.000077
Wind,CIS,2009,0.00010574
Wind,CIS,2010,0.00009188
Wind,CIS,2011,0.00011697
Wind,CIS,2012,0.0001679
Wind,CIS,2013,0.00019457
Wind,CIS,2014,0.001151423
Wind,CIS,2015,0.002996787
Wind,CIS,2016,0.004743064
Wind,CIS,2017,0.005462673
Wind,CIS,2018,0.007412672
Wind,CIS,2019,0.009607895
Wind,Europe,1978,0.00003
Wind,Europe,1979,0.00006
Wind,Europe,1980,0.000105
Wind,Europe,1981,0.000105
Wind,Europe,1982,0.000185
Wind,Europe,1983,0.000301
Wind,Europe,1984,0.000382
Wind,Europe,1985,0.000574
Wind,Europe,1986,0.001336
Wind,Europe,1987,0.001908
Wind,Europe,1988,0.003297
Wind,Europe,1989,0.005154
Wind,Europe,1990,0.00779462
Wind,Europe,1991,0.0098003
Wind,Europe,1992,0.015350509
Wind,Europe,1993,0.022848253
Wind,Europe,1994,0.029792384
Wind,Europe,1995,0.038630331
Wind,Europe,1996,0.048285854
Wind,Europe,1997,0.072954934
Wind,Europe,1998,0.111764796
Wind,Europe,1999,0.142443221
Wind,Europe,2000,0.224547139
Wind,Europe,2001,0.267593853
Wind,Europe,2002,0.359559395
Wind,Europe,2003,0.436747777
Wind,Europe,2004,0.577860556
Wind,Europe,2005,0.688468453
Wind,Europe,2006,0.80025867
Wind,Europe,2007,1.010882429
Wind,Europe,2008,1.1532389
Wind,Europe,2009,1.278619412
Wind,Europe,2010,1.440297836
Wind,Europe,2011,1.741376947
Wind,Europe,2012,1.99212877
Wind,Europe,2013,2.286648783
Wind,Europe,2014,2.426138646
Wind,Europe,2015,2.903420397
Wind,Europe,2016,2.923517221
Wind,Europe,2017,3.455410383
Wind,Europe,2018,3.603777277
Wind,Europe,2019,4.114766959
Wind,Middle East,1978,0
Wind,Middle East,1979,0
Wind,Middle East,1980,0
Wind,Middle East,1981,0
Wind,Middle East,1982,0
Wind,Middle East,1983,0
Wind,Middle East,1984,0
Wind,Middle East,1985,0
Wind,Middle East,1986,0
Wind,Middle East,1987,0
Wind,Middle East,1988,0
Wind,Middle East,1989,0
Wind,Middle East,1990,0.00001
Wind,Middle East,1991,0.00001
Wind,Middle East,1992,0.00001
Wind,Middle East,1993,0.00001
Wind,Middle East,1994,0.00001
Wind,Middle East,1995,0.00001
Wind,Middle East,1996,0.00001
Wind,Middle East,1997,0.00003
Wind,Middle East,1998,0.00003
Wind,Middle East,1999,0.00038
Wind,Middle East,2000,0.000395
Wind,Middle East,2001,0.000464012
Wind,Middle East,2002,0.000437271
Wind,Middle East,2003,0.000417784
Wind,Middle East,2004,0.000598401
Wind,Middle East,2005,0.000832782
Wind,Middle East,2006,0.001341417
Wind,Middle East,2007,0.001482181
Wind,Middle East,2008,0.001996608
Wind,Middle East,2009,0.002271433
Wind,Middle East,2010,0.00208564
Wind,Middle East,2011,0.002106499
Wind,Middle East,2012,0.002008418
Wind,Middle East,2013,0.002102224
Wind,Middle East,2014,0.001990663
Wind,Middle East,2015,0.003490529
Wind,Middle East,2016,0.00643518
Wind,Middle East,2017,0.00746912
Wind,Middle East,2018,0.010129836
Wind,Middle East,2019,0.010305463
Wind,North America,1978,0
Wind,North America,1979,0
Wind,North America,1980,0
Wind,North America,1981,0
Wind,North America,1982,0
Wind,North America,1983,0.0000269
Wind,North America,1984,0.0000656
Wind,North America,1985,0.0000682
Wind,North America,1986,0.0000523
Wind,North America,1987,0.0000458
Wind,North America,1988,0.0000188
Wind,North America,1989,0.021343768
Wind,North America,1990,0.028196877
Wind,North America,1991,0.029836786
Wind,North America,1992,0.029766899
Wind,North America,1993,0.030961889
Wind,North America,1994,0.035459283
Wind,North America,1995,0.032622152
Wind,North America,1996,0.033347364
Wind,North America,1997,0.033952475
Wind,North America,1998,0.031332586
Wind,North America,1999,0.047123313
Wind,North America,2000,0.059327586
Wind,North America,2001,0.071059407
Wind,North America,2002,0.107444187
Wind,North America,2003,0.117785194
Wind,North America,2004,0.148630311
Wind,North America,2005,0.189424202
Wind,North America,2006,0.2824314
Wind,North America,2007,0.363596009
Wind,North America,2008,0.569861685
Wind,North America,2009,0.77322102
Wind,North America,2010,0.99094845
Wind,North America,2011,1.24291415
Wind,North America,2012,1.458080195
Wind,North America,2013,1.703876972
Wind,North America,2014,1.857378316
Wind,North America,2015,2.079675118
Wind,North America,2016,2.449780123
Wind,North America,2017,2.691042953
Wind,North America,2018,2.878179008
Wind,North America,2019,3.163469123
Wind,South & Central America,1978,0
Wind,South & Central America,1979,0
Wind,South & Central America,1980,0
Wind,South & Central America,1981,0
Wind,South & Central America,1982,0
Wind,South & Central America,1983,0
Wind,South & Central America,1984,0
Wind,South & Central America,1985,0
Wind,South & Central America,1986,0
Wind,South & Central America,1987,0
Wind,South & Central America,1988,0
Wind,South & Central America,1989,0
Wind,South & Central America,1990,0
Wind,South & Central America,1991,0
Wind,South & Central America,1992,0
Wind,South & Central America,1993,0.0000172
Wind,South & Central America,1994,0.0000778
Wind,South & Central America,1995,0.0000778
Wind,South & Central America,1996,0.000419784
Wind,South & Central America,1997,0.001029245
Wind,South & Central America,1998,0.001113694
Wind,South & Central America,1999,0.001484719
Wind,South & Central America,2000,0.002520868
Wind,South & Central America,2001,0.003188726
Wind,South & Central America,2002,0.004529139
Wind,South & Central America,2003,0.004345568
Wind,South & Central America,2004,0.005295407
Wind,South & Central America,2005,0.005154282
Wind,South & Central America,2006,0.007445619
Wind,South & Central America,2007,0.011105028
Wind,South & Central America,2008,0.015873409
Wind,South & Central America,2009,0.019623976
Wind,South & Central America,2010,0.032375056
Wind,South & Central America,2011,0.040343404
Wind,South & Central America,2012,0.072367721
Wind,South & Central America,2013,0.093985844
Wind,South & Central America,2014,0.17024545
Wind,South & Central America,2015,0.286548907
Wind,South & Central America,2016,0.408983182
Wind,South & Central America,2017,0.505202551
Wind,South & Central America,2018,0.588307092
Wind,South & Central America,2019,0.705646604
Solar,Africa,1978,0
Solar,Africa,1979,0
Solar,Africa,1980,0
Solar,Africa,1981,0
Solar,Africa,1982,0
Solar,Africa,1983,0
Solar,Africa,1984,0
Solar,Africa,1985,0
Solar,Africa,1986,0
Solar,Africa,1987,0
Solar,Africa,1988,0
Solar,Africa,1989,0
Solar,Africa,1990,0
Solar,Africa,1991,0
Solar,Africa,1992,0
Solar,Africa,1993,0
Solar,Africa,1994,0
Solar,Africa,1995,0
Solar,Africa,1996,0
Solar,Africa,1997,0
Solar,Africa,1998,0
Solar,Africa,1999,0
Solar,Africa,2000,0.0001314
Solar,Africa,2001,0.000162546
Solar,Africa,2002,0.000192197
Solar,Africa,2003,0.000225888
Solar,Africa,2004,0.00026757
Solar,Africa,2005,0.000313518
Solar,Africa,2006,0.000391293
Solar,Africa,2007,0.000510008
Solar,Africa,2008,0.00071411
Solar,Africa,2009,0.000927016
Solar,Africa,2010,0.002006995
Solar,Africa,2011,0.004224156
Solar,Africa,2012,0.00511059
Solar,Africa,2013,0.007597908
Solar,Africa,2014,0.016777854
Solar,Africa,2015,0.032746632
Solar,Africa,2016,0.044716825
Solar,Africa,2017,0.062856456
Solar,Africa,2018,0.088133572
Solar,Africa,2019,0.172742645
Solar,Asia Pacific,1978,0
Solar,Asia Pacific,1979,0
Solar,Asia Pacific,1980,0
Solar,Asia Pacific,1981,0
Solar,Asia Pacific,1982,0
Solar,Asia Pacific,1983,0
Solar,Asia Pacific,1984,0
Solar,Asia Pacific,1985,0
Solar,Asia Pacific,1986,0
Solar,Asia Pacific,1987,0
Solar,Asia Pacific,1988,0
Solar,Asia Pacific,1989,0
Solar,Asia Pacific,1990,0.00004
Solar,Asia Pacific,1991,0.0000945
Solar,Asia Pacific,1992,0.000276
Solar,Asia Pacific,1993,0.000431
Solar,Asia Pacific,1994,0.000534
Solar,Asia Pacific,1995,0.0007066
Solar,Asia Pacific,1996,0.0009816
Solar,Asia Pacific,1997,0.001470148
Solar,Asia Pacific,1998,0.002029183
Solar,Asia Pacific,1999,0.00286266
Solar,Asia Pacific,2000,0.004284877
Solar,Asia Pacific,2001,0.006045493
Solar,Asia Pacific,2002,0.008184101
Solar,Asia Pacific,2003,0.010950993
Solar,Asia Pacific,2004,0.014264868
Solar,Asia Pacific,2005,0.017939155
Solar,Asia Pacific,2006,0.022046468
Solar,Asia Pacific,2007,0.02636831
Solar,Asia Pacific,2008,0.031952682
Solar,Asia Pacific,2009,0.041636431
Solar,Asia Pacific,2010,0.063626075
Solar,Asia Pacific,2011,0.114248061
Solar,Asia Pacific,2012,0.163425069
Solar,Asia Pacific,2013,0.299215278
Solar,Asia Pacific,2014,0.577311103
Solar,Asia Pacific,2015,0.870893372
Solar,Asia Pacific,2016,1.282661249
Solar,Asia Pacific,2017,1.979004346
Solar,Asia Pacific,2018,2.802488694
Solar,Asia Pacific,2019,3.511568733
Solar,CIS,1978,0
Solar,CIS,1979,0
Solar,CIS,1980,0
Solar,CIS,1981,0
Solar,CIS,1982,0
Solar,CIS,1983,0
Solar,CIS,1984,0
Solar,CIS,1985,0
Solar,CIS,1986,0
Solar,CIS,1987,0
Solar,CIS,1988,0
Solar,CIS,1989,0
Solar,CIS,1990,0
Solar,CIS,1991,0
Solar,CIS,1992,0
Solar,CIS,1993,0
Solar,CIS,1994,0
Solar,CIS,1995,0
Solar,CIS,1996,0
Solar,CIS,1997,0
Solar,CIS,1998,0
Solar,CIS,1999,0
Solar,CIS,2000,0
Solar,CIS,2001,0
Solar,CIS,2002,0
Solar,CIS,2003,0
Solar,CIS,2004,0
Solar,CIS,2005,0
Solar,CIS,2006,0
Solar,CIS,2007,0
Solar,CIS,2008,0
Solar,CIS,2009,6.97E-08
Solar,CIS,2010,0.000002257
Solar,CIS,2011,0.00001701
Solar,CIS,2012,0.000058795
Solar,CIS,2013,0.00017362
Solar,CIS,2014,0.001625168
Solar,CIS,2015,0.003743443
Solar,CIS,2016,0.00575836
Solar,CIS,2017,0.00702585
Solar,CIS,2018,0.008450092
Solar,CIS,2019,0.013114788
Solar,Europe,1978,0
Solar,Europe,1979,0
Solar,Europe,1980,0
Solar,Europe,1981,0
Solar,Europe,1982,0
Solar,Europe,1983,0
Solar,Europe,1984,0.0000101
Solar,Europe,1985,0.0000101
Solar,Europe,1986,0.0000101
Solar,Europe,1987,0
Solar,Europe,1988,0.0000101
Solar,Europe,1989,0.0000909
Solar,Europe,1990,0.000125
Solar,Europe,1991,0.000155
Solar,Europe,1992,0.00027088
Solar,Europe,1993,0.00032383
Solar,Europe,1994,0.000376885
Solar,Europe,1995,0.0004684
Solar,Europe,1996,0.000538113
Solar,Europe,1997,0.000639258
Solar,Europe,1998,0.000870885
Solar,Europe,1999,0.000911985
Solar,Europe,2000,0.0013447
Solar,Europe,2001,0.001691088
Solar,Europe,2002,0.002731744
Solar,Europe,2003,0.004596799
Solar,Europe,2004,0.007319592
Solar,Europe,2005,0.014393475
Solar,Europe,2006,0.024288241
Solar,Europe,2007,0.036487755
Solar,Europe,2008,0.071283385
Solar,Europe,2009,0.134043341
Solar,Europe,2010,0.218362268
Solar,Europe,2011,0.43580317
Solar,Europe,2012,0.666430333
Solar,Europe,2013,0.801269332
Solar,Europe,2014,0.90550064
Solar,Europe,2015,1.000724258
Solar,Europe,2016,1.031640638
Solar,Europe,2017,1.12027225
Solar,Europe,2018,1.23971668
Solar,Europe,2019,1.378728741
Solar,Middle East,1978,0
Solar,Middle East,1979,0
Solar,Middle East,1980,0
Solar,Middle East,1981,0
Solar,Middle East,1982,0
Solar,Middle East,1983,0
Solar,Middle East,1984,0
Solar,Middle East,1985,0
Solar,Middle East,1986,0
Solar,Middle East,1987,0
Solar,Middle East,1988,0
Solar,Middle East,1989,0
Solar,Middle East,1990,0
Solar,Middle East,1991,0
Solar,Middle East,1992,0
Solar,Middle East,1993,0
Solar,Middle East,1994,0
Solar,Middle East,1995,0
Solar,Middle East,1996,0
Solar,Middle East,1997,0
