Region,Country,Year,Oil,Natural Gas,Coal,Nuclear energy,Renewables
North America,Canada,2018,4.589797193,4.2580566,0.65057431,0.895015586,3.95609048
North America,Mexico,2018,3.484227552,3.152677458,0.567163673,0.122129732,0.507123246
North America,US,2018,37.10727846,29.51791047,13.28205107,7.601349645,8.094329356
South & Central America,Argentina,2018,1.20352202,1.753352629,0.049352932,0.061486316,0.473152384
South & Central America,Brazil,2018,4.692021,1.292068716,0.696335167,0.140240042,5.313646774
South & Central America,Chile,2018,0.749255908,0.230893536,0.311622042,0,0.368905697
South & Central America,Colombia,2018,0.690930508,0.475564233,0.158061038,0,0.527808613
South & Central America,Ecuador,2018,0.510012106,0.02546042,0,0,0.190756025
South & Central America,Peru,2018,0.49781969,0.288082174,0.032280817,0,0.322809623
South & Central America,Trinidad & Tobago,2018,0.08791559,0.625491006,0,0,4.17841E-05
South & Central America,Venezuela,2018,0.801007522,1.138287583,0.00481482,0,0.509963385
South & Central America,Other S. & Cent. America,2018,2.683545101,0.288519994,0.177494088,0,1.156444913
Europe,Austria,2018,0.536924133,0.312729081,0.119585076,0,0.468081942
Europe,Belgium,2018,1.421913571,0.6074676,0.130189467,0.255867895,0.173143787
Europe,Czech Republic,2018,0.425885989,0.2873817,0.648715185,0.267716895,0.097198375
Europe,Finland,2018,0.406608882,0.075614,0.175473,0.195775579,0.293642256
Europe,France,2018,3.168773857,1.537635577,0.350937576,3.70282843,1.11106968
Europe,Germany,2018,4.634029562,3.090626,2.904084,0.680044737,2.13055812
Europe,Greece,2018,0.648322358,0.16994124,0.191433643,0,0.15152516
Europe,Hungary,2018,0.365761091,0.346407,0.08879491,0.140768947,0.041627821
Europe,Italy,2018,2.602182793,2.491706992,0.369385705,0,1.065934009
Europe,Netherlands,2018,1.682585264,1.2731,0.3438,0.031447942,0.195168932
Europe,Norway,2018,0.412219368,0.161381705,0.033445917,0,1.297209935
Europe,Poland,2018,1.331425872,0.717338,2.084804,0,0.249557979
Europe,Portugal,2018,0.479293914,0.208777689,0.114006564,0,0.274889824
Europe,Romania,2018,0.429628616,0.416267555,0.214637684,0.101794211,0.246830937
Europe,Spain,2018,2.717234125,1.132879529,0.462742588,0.498958947,1.006618004
Europe,Sweden,2018,0.560080521,0.0366075,0.082916811,0.613333158,0.873601802
Europe,Switzerland,2018,0.434550757,0.11951,0.00429,0.218441053,0.351245353
Europe,Turkey,2018,1.99721936,1.70037063,1.710792902,0,0.880665419
Europe,Ukraine,2018,0.414265436,1.100486726,1.154991943,0.755140895,0.117562495
Europe,United Kingdom,2018,3.172860853,2.853253096,0.317431034,0.582150227,1.038727966
Europe,Other Europe,2018,2.614270936,1.08856053,1.412827596,0.328768547,1.218450106
CIS,Azerbaijan,2018,0.208355104,0.38936925,0.0000516,0,0.017630879
CIS,Belarus,2018,0.309440019,0.695313841,0.037020188,0,0.006606352
CIS,Kazakhstan,2018,0.666050745,0.683835372,1.704784384,0,0.097755052
CIS,Russian Federation,2018,6.498339832,16.36197528,3.62828088,1.830462026,1.718092044
CIS,Turkmenistan,2018,0.292040211,1.022123894,0,0,9.04937E-05
CIS,Uzbekistan,2018,0.093129467,1.597881664,0.085047591,0,0.05277993
CIS,Other CIS,2018,0.177408978,0.211175315,0.087455187,0.018575632,0.316422286
Middle East,Iran,2018,3.538964137,8.068916857,0.055432569,0.061606005,0.106317717
Middle East,Iraq,2018,1.462318572,0.525616068,0,0,0.016776378
Middle East,Israel,2018,0.49418243,0.3788253,0.197212905,0,0.016004795
Middle East,Kuwait,2018,0.801679369,0.76148051,0.00801866,0,0.000744426
Middle East,Oman,2018,0.584170884,0.89910267,0.00311893,0,3.35995E-05
Middle East,Qatar,2018,0.501003356,1.488944865,0,0,0.001102387
Middle East,Saudi Arabia,2018,6.864982756,4.0356,0.004281774,0,0.003409782
Middle East,United Arab Emirates,2018,2.00999771,2.677924733,0.100818144,0,0.011824602
Middle East,Other Middle East,2018,1.055107319,0.812864463,0.016518797,0,0.040836359
Africa,Algeria,2018,0.829273636,1.562715,0.020934,0,0.006531579
Africa,Egypt,2018,1.530638534,2.145405933,0.090138354,0,0.151259996
Africa,Morocco,2018,0.553299041,0.037066949,0.215612648,0,0.058017787
Africa,South Africa,2018,1.155016223,0.161024817,3.760496371,0.099230136,0.119236916
Africa,Other Africa,2018,4.005818686,1.451054702,0.318178282,0,1.122603127
Asia Pacific,Australia,2018,2.159105407,1.491384003,1.844549393,0,0.500854308
Asia Pacific,Bangladesh,2018,0.381724781,0.987444052,0.102338447,0,0.010522479
Asia Pacific,China,2018,26.58061683,10.18785461,79.8307623,2.639473684,16.53198949
Asia Pacific,China Hong Kong SAR,2018,0.929709784,0.108624602,0.262684,0,0.001083892
Asia Pacific,India,2018,9.950335701,2.0912889,18.55766369,0.349401,2.353104285
Asia Pacific,Indonesia,2018,3.379562146,1.603029135,2.838514845,0,0.404259457
Asia Pacific,Japan,2018,7.633382305,4.165493604,4.991584842,0.439369474,1.610630874
Asia Pacific,Malaysia,2018,1.538479371,1.477316994,0.927297469,0,0.264483717
Asia Pacific,New Zealand,2018,0.355597131,0.158723386,0.054317844,0,0.329464367
Asia Pacific,Pakistan,2018,1.018994351,1.569153985,0.495115818,0.08765812,0.306628823
Asia Pacific,Philippines,2018,0.894102382,0.147197043,0.6846096,0,0.230097285
Asia Pacific,Singapore,2018,3.134965944,0.44230615,0.019987783,0,0.008033297
Asia Pacific,South Korea,2018,5.373755665,2.08094427,3.627895694,1.194520756,0.272676378
Asia Pacific,Sri Lanka,2018,0.227276425,0,0.057158612,0,0.064367478
Asia Pacific,Taiwan,2018,2.035655365,0.851836961,1.698317376,0.247684693,0.09708385
Asia Pacific,Thailand,2018,2.684795976,1.800706026,0.801611189,0,0.312925515
Asia Pacific,Vietnam,2018,1.023455185,0.3477474,1.589540237,0,0.760396579
Asia Pacific,Other Asia Pacific,2018,0.965794222,0.406156705,1.231549258,0,0.534845171
North America,Canada,2019,4.499920662,4.331248844,0.558632507,0.895769125,3.92848643
North America,Mexico,2019,3.291532486,3.264027225,0.50751622,0.100297566,0.557368959
North America,US,2019,36.98803904,30.47922187,11.34064317,7.595138119,8.245761845
South & Central America,Argentina,2019,1.18557999,1.709661422,0.022851728,0.075254281,0.46942195
South & Central America,Brazil,2019,4.73052402,1.289141921,0.656076918,0.144099443,5.583592042
South & Central America,Chile,2019,0.759591945,0.233328331,0.284528777,0,0.378374183
South & Central America,Colombia,2019,0.701667447,0.484071972,0.257706281,0,0.48079243
South & Central America,Ecuador,2019,0.494373171,0.022753833,0,0,0.22715604
South & Central America,Peru,2019,0.506484708,0.298797675,0.021773124,0,0.334432172
South & Central America,Trinidad & Tobago,2019,0.082173458,0.631505054,0,0,4.16301E-05
South & Central America,Venezuela,2019,0.705857555,0.952409269,0.003160863,0,0.56541158
South & Central America,Other S. & Cent. America,2019,2.689096437,0.33105163,0.237251403,0,1.058756348
Europe,Austria,2019,0.548101923,0.320415877,0.125841471,0,0.505478898
Europe,Belgium,2019,1.381121947,0.625806,0.127520406,0.390066153,0.188184296
Europe,Czech Republic,2019,0.42900755,0.2996982,0.604116515,0.269626101,0.102747274
Europe,Finland,2019,0.387207217,0.072752,0.146333,0.204371061,0.287022318
Europe,France,2019,3.149391433,1.563648972,0.269694924,3.560719793,1.135680647
Europe,Germany,2019,4.6775842,3.191646461,2.304,0.669213476,2.297455837
Europe,Greece,2019,0.675733367,0.18529728,0.138658565,0,0.145860322
Europe,Hungary,2019,0.368873932,0.353192629,0.078720859,0.145206325,0.04730174
Europe,Italy,2019,2.488869087,2.54846213,0.297949181,0,1.038234421
Europe,Netherlands,2019,1.653849063,1.326340883,0.2665,0.034852977,0.229625846
