Region,Country,year,PrimaryEnergyConsumption,CarbonDioxideEmissions,OilProduction-Barrels,OilConsumption-Barrels,OilConsumption-EJ,GasProduction-EJ,GasConsumption-EJ,CoalProduction-EJ,CoalConsumption-EJ,NuclearGeneration-TWh,NuclearConsumption-EJ,HydroGeneration-TWh,HydroConsumption-EJ,RenewablesConsumption-EJ,RenewablesPower-EJ,SolarGeneration-TWh,SolarConsumption-EJ,WindGeneration-TWh,WindConsumption-EJ,Renewablegeneration-Others,RenewableConsumption-other
NorthAmerica,Canada,1965,4.924317048,260.3325573,920,1108.116301,2.31414467,NaN,0.78006321,NaN,0.647949168,0.128,0.00128,118.088,1.18088,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1966,5.239094893,271.6989286,1012,1167.468795,2.438144002,NaN,0.854009595,NaN,0.635221296,0.172,0.00172,131,1.31,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1967,5.48021397,285.5374804,1106,1245.557068,2.603182274,NaN,0.90690192,NaN,0.629359776,0.153,0.00153,133.924,1.33924,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1968,5.836056241,308.2842014,1194,1322.15735,2.771255143,NaN,1.00987479,NaN,0.683746308,0.918,0.00918,136.2,1.362,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1969,6.18595265,320.447741,1306,1380.190329,2.885563124,NaN,1.12858677,NaN,0.660132756,0.529,0.00529,150.638,1.50638,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1970,6.624581111,344.9084603,1473,1471.579753,3.077280917,1.9445859,1.24681869,NaN,0.708741504,1.037,0.01037,158.137,1.58137,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1971,6.831992434,351.5866508,1582,1512.128247,3.160261414,2.12598,1.3307949,NaN,0.67365612,4.267,0.04267,162.461,1.62461,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1972,7.348641542,367.9774371,1829,1588.909235,3.327598328,2.4003,1.49686137,NaN,0.635681844,7.211,0.07211,181.639,1.81639,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1973,7.857611557,386.7170555,2114,1682.379178,3.511996971,2.57175,1.59184467,NaN,0.654689916,15.254,0.15254,194.654,1.94654,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1974,8.099353899,392.9812221,1993,1712.654082,3.571398285,2.51839476,1.60912683,NaN,0.665198784,14.696,0.14696,210.667,2.10667,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1975,7.956117337,389.675853,1735,1682.419918,3.496870261,2.5724358,1.6616934,NaN,0.647153676,12.57,0.1257,202.47,2.0247,0,0,0,0,0,0,0,0
NorthAmerica,Canada,1976,8.439991487,409.9783144,1598,1788.929071,3.689248987,2.5950672,1.6764381,NaN,0.7661844,17.416,0.17416,212.689,2.12689,0.00707,0.00707,0,0,0,0,0.707,0.00707
NorthAmerica,Canada,1977,8.936246164,434.5360467,1608,1811.693233,3.723233652,2.726055,1.7583912,NaN,0.979041312,26.342,0.26342,220.147,2.20147,0.01069,0.01069,0,0,0,0,1.069,0.01069
NorthAmerica,Canada,1978,9.054126246,421.0577551,1597,1849.04474,3.798015042,2.6307288,1.7751933,NaN,0.805037904,31.202,0.31202,235.254,2.35254,0.01132,0.01132,0,0,0,0,1.132,0.01132
NorthAmerica,Canada,1979,9.326797594,427.5807876,1835,1931.127589,3.954854518,2.774061,1.8022824,NaN,0.762290676,35.271,0.35271,244.121,2.44121,0.01345,0.01345,0,0,0,0,1.345,0.01345
NorthAmerica,Canada,1980,9.518029261,437.8002137,1764,1898.032459,3.893853561,2.5642062,1.7909667,NaN,0.928409,38.032,0.38032,251.148,2.51148,0.013,0.013,0,0,0,0,1.3,0.013
NorthAmerica,Canada,1981,9.4088923,418.4026669,1610,1788.171096,3.6433331,2.4777954,1.7378172,0.969542041,0.947942,40.067,0.40067,266.015,2.66015,0.01898,0.01898,0,0,0,0,1.898,0.01898
NorthAmerica,Canada,1982,9.090671025,405.7187463,1590,1608.54537,3.265935725,2.6008965,1.8403443,1.028279025,1.001681,38.337,0.38337,257.795,2.57795,0.02139,0.02139,0,0,0,0,2.139,0.02139
NorthAmerica,Canada,1983,9.028668048,387.4062854,1661,1518.12474,3.059220848,2.4462486,1.7549622,1.06601108,1.048015,48.61,0.4861,265.952,2.65952,0.02085,0.02085,0,0,0,0,2.085,0.02085
NorthAmerica,Canada,1984,9.615311746,407.2780898,1775,1539.787814,3.093219846,2.6811351,1.9480149,1.396400158,1.167377,52.21,0.5221,286.123,2.86123,0.02337,0.02337,0,0,0,0,2.337,0.02337
NorthAmerica,Canada,1985,9.921055951,402.516503,1812.795211,1556.131534,3.097168277,2.898492552,2.043361674,1.487131978,1.122086,60.521,0.60521,303.645,3.03645,0.01678,0.01678,0,0,0.001,0.00001,1.677,0.01677
